time,left,front,u,Xi,desired
11996.447,314.401652,64.357109,1.500000,9.034511,320.128927
11996.476,327.478959,66.875975,-1.500000,-3.608646,320.610781
11996.514,331.191914,64.109160,-1.500000,-6.777303,321.214885
11996.545,315.546663,67.341570,1.500000,9.335593,321.733914
11996.576,320.206832,66.510562,1.500000,5.124450,322.232277
11996.609,310.859295,65.458199,1.500000,14.948742,322.761417
11996.637,329.326151,62.579412,-1.500000,-3.104805,323.220141
11996.671,322.436524,67.988465,1.500000,4.286299,323.776717
11996.698,309.365880,66.082730,1.500000,17.754097,324.217511
11996.734,314.436348,68.744902,1.500000,13.218180,324.810797
11996.767,334.314135,66.854980,-1.500000,-6.181377,325.341573
11996.798,327.043237,69.054066,0.217140,1.549321,325.851896
11996.829,334.543853,68.444497,-1.500000,-5.497003,326.356104
11996.864,333.784923,68.099586,-1.500000,-4.230252,326.919724
11996.894,329.688191,71.784629,-1.132761,0.302626,327.403792
11996.931,321.860815,69.056816,1.500000,8.672775,328.006205
11996.965,323.134765,72.075738,1.500000,7.886519,328.547486
11996.995,330.457137,68.340973,1.500000,1.006815,329.038791
11997.031,338.422189,64.896963,-1.500000,-6.435954,329.618462
11997.063,334.992399,68.209064,-1.500000,-2.534635,330.141803
11997.093,340.943409,63.195673,-1.500000,-8.053991,330.620886
11997.119,341.623229,64.503709,-1.500000,-8.356689,331.039444
11997.155,322.805063,68.325621,1.500000,10.984795,331.620264
11997.188,324.715285,66.206365,1.500000,9.559935,332.158958
11997.224,321.491924,66.765851,1.500000,13.303052,332.735823
11997.258,326.279566,63.019601,1.500000,9.005097,333.279316
11997.289,343.535656,69.014059,-1.500000,-7.799091,333.780871
11997.322,348.462955,73.476739,-1.500000,-12.254495,334.304617
11997.352,329.036398,67.380278,1.500000,7.615503,334.796781
11997.383,339.697104,66.390539,-1.495569,-2.607331,335.282767
11997.411,350.646878,65.089128,-1.500000,-13.152718,335.731587
11997.446,332.492568,71.836521,1.500000,5.505935,336.291346
11997.479,327.156944,64.559335,1.500000,11.316178,336.818115
11997.512,348.658239,70.241856,-1.500000,-9.710038,337.345394
11997.547,357.827779,68.331519,-1.500000,-18.384458,337.894918
11997.581,343.981410,69.416427,-1.500000,-4.053928,338.432277
11997.616,326.177604,62.935594,1.500000,14.251752,338.989296
11997.646,324.012512,63.272996,1.500000,16.836511,339.455076
11997.672,337.842398,64.422638,1.500000,3.380869,339.870441
11997.706,332.815808,75.240060,1.500000,8.883295,340.398561
11997.743,344.788523,65.966941,-1.500000,-2.557851,340.988537
11997.774,340.071372,64.711209,1.468457,2.584894,341.460894
11997.810,343.355318,68.958527,1.386855,-0.194410,342.020985
11997.845,348.190001,60.546156,-1.500000,-4.529402,342.575581
11997.881,347.356145,64.668107,-1.500000,-3.193467,343.132828
11997.910,341.004676,64.726933,1.500000,3.560852,343.579942
11997.942,361.176241,67.855643,-1.500000,-16.163883,344.075868
11997.968,354.873551,63.733957,-1.500000,-9.500684,344.475989
11998.001,354.192056,67.493935,-1.500000,-8.367479,344.977334
11998.029,340.851942,70.887760,1.500000,5.366761,345.414764
11998.062,346.718032,74.215379,1.500000,-0.049420,345.914109
11998.093,361.178318,65.942354,-1.500000,-14.077356,346.393964
11998.128,348.899681,69.123473,-1.500000,-1.314722,346.931142
11998.164,338.405297,67.100907,1.500000,9.665284,347.470122
11998.201,365.991070,67.149626,-1.500000,-17.410960,348.035638
11998.231,337.570181,63.327530,1.500000,11.413055,348.483059
11998.263,339.150985,66.733751,1.500000,10.273766,348.973087
11998.293,344.415913,64.980980,1.500000,5.401565,349.408965
11998.324,365.901670,67.721175,-1.500000,-15.665069,349.874141
11998.355,364.347910,65.713703,-1.500000,-13.687932,350.344038
11998.385,345.494897,66.590693,1.500000,5.565830,350.788821
11998.417,356.392927,67.850143,-1.500000,-4.910534,351.256818
11998.450,348.044469,63.451532,1.500000,3.885851,351.753962
11998.485,362.803263,62.774694,-1.500000,-10.416626,352.260418
11998.524,355.349902,63.686543,-1.500000,-2.454417,352.825178
11998.556,348.502270,70.593232,1.500000,4.822106,353.301194
11998.593,352.594916,66.882378,1.500000,1.217075,353.842387
11998.619,345.608496,66.978813,1.500000,8.541531,354.217566
11998.649,344.062827,65.563423,1.500000,10.471712,354.644327
11998.685,370.112646,67.644505,-1.500000,-15.106720,355.167509
11998.714,373.536884,66.927870,-1.500000,-18.157831,355.581634
11998.746,375.588821,65.231616,-1.500000,-19.802306,356.033868
11998.781,356.415900,74.073299,-1.500000,-0.184708,356.527405
11998.818,355.770935,63.299989,-0.371621,0.932535,357.051576
11998.849,351.245286,69.408913,1.500000,5.852493,357.489212
11998.884,357.861175,69.615358,1.198684,-0.328883,357.971467
11998.917,384.176040,66.729302,-1.500000,-26.229400,358.431342
11998.945,357.907894,67.750887,-1.166427,0.391290,358.822624
11998.981,360.041778,72.905938,-1.500000,-1.289961,359.324991
11999.010,353.040073,68.893837,1.500000,6.064843,359.716888
11999.042,340.882290,66.751140,1.500000,18.621649,360.159755
11999.075,350.317272,72.479818,1.500000,9.584410,360.601201
11999.108,363.685850,66.818169,-1.500000,-3.378930,361.050967
11999.140,351.906957,64.577938,1.500000,8.789350,361.483138
11999.175,371.366305,65.817807,-1.500000,-10.249059,361.950328
11999.207,369.207016,64.467904,-1.500000,-7.708718,362.373250
11999.239,354.233220,72.181311,1.500000,7.651515,362.802148
11999.272,360.443676,66.631733,1.500000,1.831612,363.235614
11999.305,357.787318,69.569666,1.500000,4.878348,363.668886
11999.333,365.479221,71.004467,-1.500000,-2.484574,364.034014
11999.367,359.291621,69.114556,1.500000,4.095413,364.469516
11999.397,358.028122,61.373850,1.500000,5.706999,364.855850
11999.430,381.791794,66.800396,-1.500000,-17.665284,365.290244
11999.465,359.076434,63.443333,1.500000,5.441794,365.725004
11999.497,364.105383,73.058304,1.500000,0.788837,366.142309
11999.532,382.465157,71.897960,-1.500000,-17.175772,366.580893
11999.561,400.706318,63.743865,-1.500000,-35.092691,366.940763
11999.595,377.383847,66.561065,-1.500000,-11.389789,367.362995
11999.631,361.093591,70.418692,1.500000,5.295178,367.801075
11999.664,374.406011,65.661699,-1.500000,-7.650645,368.207953
11999.692,371.645941,66.745831,-1.500000,-4.576448,368.556596
